Sample,Cohort,Ploidy_factor.MESOMICS,Morphology_factor.MESOMICS,Adaptive-response_factor.MESOMICS,CIMP-index_factor.MESOMICS,LF5.MESOMICS,LF6.MESOMICS,LF7.MESOMICS,LF8.MESOMICS,LF9.MESOMICS,LF10.MESOMICS
MESO_042_T1,MESOMICS,-0.173389119,1.162111461,1.610181644,0.679165927,-0.566630557,-0.692000452,0.094840515,0.585034108,0.508643505,0.17365607
MESO_043_T,MESOMICS,-0.44039597,2.142841422,1.041428392,-1.250974944,-0.805471774,-0.046370738,-0.07765747,-0.306845376,0.432918324,0.032440844
MESO_044_T,MESOMICS,-0.321860368,-1.258263862,0.380703561,-0.328382549,-0.726327012,-0.024715328,-0.041258461,-0.386403593,0.213110919,0.029183024
MESO_045_T,MESOMICS,-0.495234011,0.015074806,3.438067452,-1.70462836,-0.728610268,0.034523142,0.069126687,0.102741693,0.338508607,0.017657858
MESO_046_T,MESOMICS,-1.245652687,0.433570048,-2.313266141,1.009623832,0.794963965,0.368362911,-0.788052697,0.084678728,-0.189724066,-1.654606119
MESO_047_T,MESOMICS,-0.441616221,-0.767402429,1.018769419,-0.925489229,-0.797585054,-0.447395929,-0.045304988,-0.274722642,0.279107943,0.013484228
MESO_048_T1,MESOMICS,-0.621379603,-0.116656021,-1.171978213,0.089881853,0.82090716,-0.828602584,0.701601026,-0.266715997,0.154046541,-0.875059856
MESO_049_T,MESOMICS,-0.673506889,1.762694784,0.174742897,0.213666686,-0.038287795,-0.734605565,-0.229595419,0.110438838,0.169406544,-0.068268925
MESO_050_T,MESOMICS,-0.364528332,-1.069410339,2.816796489,-0.002620174,-0.694798573,0.170180364,0.098170801,-0.294005691,0.300754718,0.113441474
MESO_051_T,MESOMICS,-0.815131564,0.231957761,-0.379064599,-0.377325169,-0.22728405,0.643337837,-0.162721623,-0.248240381,0.24757365,-0.879899899
MESO_052_T2,MESOMICS,-0.691663788,1.673808028,0.037138809,1.396514555,-0.538347248,0.780369691,-0.389431393,-0.274790071,0.514828552,0.18101215
MESO_053_T,MESOMICS,-0.622498467,1.483713609,-1.247279507,0.485912722,1.206570025,0.548750012,0.356422798,-0.284994736,1.266271124,-0.581114755
MESO_054_T,MESOMICS,-0.49771395,1.52053027,1.551385414,0.566241637,-0.016490918,-0.414358444,-0.070225596,-0.256465588,0.202541831,-1.156199876
MESO_055_T,MESOMICS,-0.361421104,-1.392427597,1.275602126,-1.667460082,-0.832426697,0.470720827,0.008242036,-0.472321299,0.400357074,0.011728754
MESO_056_T2,MESOMICS,-0.727576551,1.239081365,-1.309338132,1.286268281,-0.039911774,1.029958471,-0.191618399,-0.378207746,0.25818464,-0.915161195
MESO_057_T2,MESOMICS,-1.517725448,1.589577969,-1.434783174,-0.781461286,2.191385942,-1.433260979,-0.085679187,0.388199096,-0.500568716,-0.564250803
MESO_058_T2,MESOMICS,-0.274798931,-0.349238702,1.536451582,-0.947579669,-0.650263355,0.576304378,0.051870354,-0.327434766,0.454151096,0.304236424
MESO_059_T1,MESOMICS,-0.279197993,1.140506987,1.401588965,-0.992474133,-0.824975082,0.94113715,-0.215037015,-0.435303297,0.487016321,0.090560217
MESO_060_T,MESOMICS,-0.623226711,3.941412499,-0.799762617,-0.412326513,-0.711407848,-0.777883122,0.02876541,-0.168171904,0.205846422,0.053594671
MESO_061_T,MESOMICS,-0.718809869,-2.636865826,3.640940616,-0.251035566,-0.436556879,-0.832675521,-0.313493337,-0.017976573,-0.018635898,0.302816333
MESO_062_T2,MESOMICS,-0.432058166,1.526423377,1.652752782,-0.139116977,-0.660034069,0.109611464,-0.024858104,0.537317902,0.442535119,0.150965336
MESO_063_T,MESOMICS,1.665180797,0.728473081,1.158186942,1.400844205,-0.836511219,0.482982267,0.662027311,-0.938976289,0.637027794,0.103280161
MESO_064_T,MESOMICS,-1.008959143,0.323662072,-1.367170413,0.813909347,0.92866836,0.814823298,0.256383967,-0.188557327,0.065406768,-0.974204922
MESO_065_T,MESOMICS,-0.452552867,1.770658204,0.751459517,-0.140624884,-0.746891567,-0.524674334,0.019405333,-0.230134555,0.366672513,0.111115614
MESO_066_T,MESOMICS,-0.399382954,0.012930037,0.886793092,0.139318734,-0.667423885,0.901787584,-0.100749365,-0.504189754,0.498210595,0.274356888
MESO_067_T,MESOMICS,-0.304530836,0.611416379,0.127017627,-0.302148607,-0.595936095,0.029573339,-0.249877188,-0.362043037,0.383297198,-0.282930081
MESO_068_T,MESOMICS,-0.80898178,0.650105912,1.241630041,0.148331681,-0.220663725,-0.330690343,-0.259202393,-0.140459565,0.129526053,-0.911396602
MESO_069_T,MESOMICS,-0.137129982,1.400660307,0.608224152,-0.250408471,-0.74214269,-0.458787225,-0.400877073,-0.284578524,-0.661759063,0.037465219
MESO_070_T,MESOMICS,-0.868986732,-1.547391899,1.735605464,-0.049867717,-0.615920233,0.062595409,-0.122761031,-0.101508156,0.231519805,0.087122854
MESO_071_T,MESOMICS,-2.189103806,3.084168128,-0.694688803,6.181831479,1.249689707,4.668989365,0.680485552,-0.458572047,-2.868748498,-1.701030354
MESO_072_T,MESOMICS,-0.504461167,-1.251841756,-1.629713904,-0.378599839,-0.772085517,-0.154036566,-0.097649662,-0.301844184,0.303801073,0.072317935
MESO_073_T,MESOMICS,-0.314160323,0.718945709,0.231651655,-2.023949303,1.757939406,0.055243995,0.567036302,-0.378923999,-2.146046012,-0.397701729
MESO_074_T,MESOMICS,-0.882772301,0.067290837,-1.830344192,-1.41166559,1.091249859,-0.414148602,0.014530977,-2.023333923,-1.319918583,-0.334137488
MESO_075_T,MESOMICS,3.422655933,0.234544156,-0.056860905,-2.846498946,-0.932522449,1.17101875,0.166731722,-0.622542213,0.681449676,-0.084361492
MESO_076_T,MESOMICS,-0.307733742,0.377327555,0.019619996,-1.393020604,-0.842930036,0.663601091,-0.163032203,-0.504262712,0.45880739,0.025941207
MESO_077_T,MESOMICS,2.870586839,0.606241169,-1.444506452,-1.592282972,-0.733394216,-0.478376602,0.870457811,-0.500248261,-1.130728808,0.038312073
MESO_078_T,MESOMICS,-1.368357176,0.481643898,-1.565497347,-0.0775206,1.471131089,-0.246903204,-0.393187768,0.217256328,-0.984765388,-0.271977764
MESO_079_T,MESOMICS,-0.493887167,-1.142718386,3.534355543,-1.799694934,-0.519115159,-0.278179029,0.305307659,-0.348190492,0.029152764,0.157462814
MESO_080_T,MESOMICS,-1.226716407,0.5936216,-0.990278889,-1.131839788,1.370830466,-0.418259966,-0.434089058,0.176528709,-0.67318291,-0.306337472
MESO_081_T,MESOMICS,-0.78489349,0.772253526,1.153560208,-1.127364292,0.448650509,-0.71673971,0.389952566,-0.146617941,0.153467555,0.592740647
MESO_082_T,MESOMICS,-0.885861315,-1.924348183,-0.84336876,0.414550641,0.040414624,0.361847062,0.174678549,-0.50055902,0.443399036,0.309465189
MESO_083_T,MESOMICS,7.098432642,1.496176157,-1.185408817,2.39151421,1.409603722,-0.914771123,4.419748187,-3.692059801,0.913044935,0.150295443
MESO_084_T,MESOMICS,-0.574305684,1.366233783,0.48104486,-0.670048338,-0.72545753,0.141471359,-0.320551734,-0.246779273,0.273446555,0.055577693
MESO_085_T,MESOMICS,3.276667284,3.795960239,-0.82269976,-0.162841192,-0.089967826,-1.13271434,0.508241976,2.37900211,2.445751616,-0.19360164
MESO_086_T,MESOMICS,-0.671724492,1.378815342,1.455118883,0.273303086,0.058273494,-0.299940426,-0.237141558,-0.182401199,0.163091601,1.07160633
